"date","value"
2020-02-01,184249.6
2020-03-01,185528.8
2020-04-01,186655.4
2020-05-01,187315.6
2020-06-01,189615.2
2020-07-01,192605.6
2020-08-01,193334.1
2020-09-01,193956.6
2020-10-01,194351.1
2020-11-01,194286.7
2020-12-01,195667.2
2021-01-01,195946.1
2021-02-01,195269.5
2021-03-01,194774.2
2021-04-01,195267.6
2021-05-01,194097.1
2021-06-01,192881.9
2021-07-01,193423.8
2021-08-01,205512.5
2021-09-01,198414.4
2021-10-01,198850.4
2021-11-01,199501.9
2021-12-01,202399.2
2022-01-01,201637.7
2022-02-01,201676.4
2022-03-01,200806.5
2022-04-01,199174.6
2022-05-01,199503.9
2022-06-01,198537
2022-07-01,199479.8
2022-08-01,198529.3
2022-09-01,196917.5
2022-10-01,196847.1
2022-11-01,198240.5
2022-12-01,199094.2
2023-01-01,200997.9
2023-02-01,200178.3
2023-03-01,202337.6
2023-04-01,203104.1
2023-05-01,202663.7
2023-06-01,203209.3
2023-07-01,204071.4
2023-08-01,204238.5
2023-09-01,203767.6
2023-10-01,204403.2
2023-11-01,206839.2
2023-12-01,212761.9
2024-01-01,213315.9
2024-02-01,213722.1
2024-03-01,217193.8
2024-04-01,217189.8
2024-05-01,218726.3
2024-06-01,219996.9
2024-07-01,222348.3
2024-08-01,224777.9
2024-09-01,226724.3
2024-10-01,226096.1
2024-11-01,228392.2
2024-12-01,228989.6
